Pages,URL,HRef,Visits,% Visits
NCP Project Discovery Portal – Current Projects - Maps - Industry Canada,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/mp.html?lang=eng&tpcId=282,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/mp.html?lang=eng&tpcId=282,103,0.00017
"Contactez-nous par téléphone / télécopieur - Innovation, Sciences et Développement économique Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/fra/07148.html,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/07148.html,101,0.00017
"Persistent and per-session cookies - Innovation, Science and Economic Development Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_07147.html,http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_07147.html,98,0.00017
We found your username(s) - My ISED Account - ISED,http://www.ic.gc.ca/app/scr/registration-inscription/usernameEmailSuccess.html,http://www.ic.gc.ca/app/scr/registration-inscription/usernameEmailSuccess.html,97,0.00016
"Avis de confidentialité - Innovation, Sciences et Développement économique Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/fra/07139.html,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/07139.html,95,0.00016
"Ministres - Innovation, Sciences et Développement économique Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/fra/00024.html,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/00024.html,91,0.00015
Créer un compte - étape 2 de 2 - Mon compte à Industrie Canada - Industrie Canada,http://www.ic.gc.ca/app/scr/registration-inscription/Creer.html,http://www.ic.gc.ca/app/scr/registration-inscription/Creer.html,90,0.00015
"Restez branchés - Innovation, Sciences et Développement économique Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/fra/h_07031.html,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/h_07031.html,77,0.00013
Accéder à votre compte - Mon compte à Industrie Canada - Industrie Canada,http://strategis.ic.gc.ca/app/scr/registration-inscription/accueil.html?lang=fra,http://strategis.ic.gc.ca/app/scr/registration-inscription/accueil.html?lang=fra,75,0.00013
"Normes pour le service au public - Innovation, Sciences et Développement économique Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/fra/07543.html,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/07543.html,74,0.00013
