Pages,URL,HRef,Visits,Views,Average Time Viewed (seconds),Average Time to Serve (ms)
Update your account - My ISED Account - ISED,http://fednor.gc.ca/app/scr/registration-inscription/update/update.html,http://fednor.gc.ca/app/scr/registration-inscription/update/update.html,2,6,32,0
,http://hults.sdaily.live/eic/site/icgc.nsf/fra/accueil,http://hults.sdaily.live/eic/site/icgc.nsf/fra/accueil,2,2,5,0
"Liste : formulaires, reports et guides... - Innovation, Sciences et Développement économique Canada",http://www1.ic.gc.ca/eic/site/icgc.nsf/fra/07128.html,http://www1.ic.gc.ca/eic/site/icgc.nsf/fra/07128.html,2,2,10,0
,http://hults.sdaily.live/eic/site/icgc.nsf/eng/h_07033.html,http://hults.sdaily.live/eic/site/icgc.nsf/eng/h_07033.html,2,2,4,0
,http://hults.sdaily.live/eic/site/icgc.nsf/eng/home,http://hults.sdaily.live/eic/site/icgc.nsf/eng/home,2,2,0,0
,http://corporationscanada.ic.gc.ca/app/scr/registration-inscription/home.html?lang=fra,http://corporationscanada.ic.gc.ca/app/scr/registration-inscription/home.html?lang=fra,2,2,0,0
,http://ito.ic.gc.ca/app/scr/registration-inscription/CreerUnCompte.html?lang=fra,http://ito.ic.gc.ca/app/scr/registration-inscription/CreerUnCompte.html?lang=fra,2,2,0,0
,http://ito.ic.gc.ca/app/scr/registration-inscription/register_email.html?lang=eng,http://ito.ic.gc.ca/app/scr/registration-inscription/register_email.html?lang=eng,2,2,0,0
"Home - Innovation, Science and Economic Development Canada",http://devapache1.ic.gc.ca/eic/site/icgc.nsf/eng/home,http://devapache1.ic.gc.ca/eic/site/icgc.nsf/eng/home,2,2,0,0
"Innovation, Science and Economic Development portfolio - Innovation, Science and Economic Development Canada",http://www1.ic.gc.ca/eic/site/icgc.nsf/eng/h_00022.html,http://www1.ic.gc.ca/eic/site/icgc.nsf/eng/h_00022.html,2,4,179,0
Create an account - success - My ISED Account - ISED,http://corporationscanada.ic.gc.ca/app/scr/registration-inscription/success.html,http://corporationscanada.ic.gc.ca/app/scr/registration-inscription/success.html,2,2,0,0
Create an account - step 2 of 2 - My ISED Account - ISED,http://corporationscanada.ic.gc.ca/app/scr/registration-inscription/register.html,http://corporationscanada.ic.gc.ca/app/scr/registration-inscription/register.html,2,2,207,0
Portail de découverte de projet du PLCN – Projets actuels - Cartes - Industrie Canada,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/mp.html?lang=fra&tpcId=282,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/mp.html?lang=fra&tpcId=282,2,2,585,0
Portail de découverte de projet du PLCN – Projets passés - Cartes - Industrie Canada,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/mp.html?lang=fra&tpcId=281,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/mp.html?lang=fra&tpcId=281,2,3,96,0
,http://www.cipo.ic.gc.ca/app/scr/registration-inscription/success.html,http://www.cipo.ic.gc.ca/app/scr/registration-inscription/success.html,2,2,127,0
,http://www1.ic.gc.ca/eic/site/icgc.nsf/eng/h_07662.html,http://www1.ic.gc.ca/eic/site/icgc.nsf/eng/h_07662.html,2,2,13,0
We found your username(s) - My ISED Account - ISED,http://www.ic.gc.ca/app/scr/registration-inscription/usernameEmailSuccess.html?lang=eng,http://www.ic.gc.ca/app/scr/registration-inscription/usernameEmailSuccess.html?lang=eng,2,2,225,0
,http://www1.ic.gc.ca/eic/site/icgc.nsf/eng/h_00018.html,http://www1.ic.gc.ca/eic/site/icgc.nsf/eng/h_00018.html,2,2,0,0
"Notre organisation - Innovation, Sciences et Développement économique Canada",http://www1.ic.gc.ca/eic/site/icgc.nsf/fra/h_00007.html,http://www1.ic.gc.ca/eic/site/icgc.nsf/fra/h_00007.html,2,2,51,0
,http://ic.gc.ca/app/scr/registration-inscription/success2.html,http://ic.gc.ca/app/scr/registration-inscription/success2.html,2,2,264,0
Points of Interest Map Administration,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/hm/fl.html,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/hm/fl.html,2,3,4,0
,http://oti.ic.gc.ca/app/scr/registration-inscription/usernameEmailSuccess.html,http://oti.ic.gc.ca/app/scr/registration-inscription/usernameEmailSuccess.html,2,2,84,0
"Stay connected - Innovation, Science and Economic Development Canada",http://www1.ic.gc.ca/eic/site/icgc.nsf/eng/h_07031.html,http://www1.ic.gc.ca/eic/site/icgc.nsf/eng/h_07031.html,2,2,0,0
,http://www-ic.fjgc-gccf.gc.ca/eic/site/icgc.nsf/eng/h_00022.html,http://www-ic.fjgc-gccf.gc.ca/eic/site/icgc.nsf/eng/h_00022.html,1,1,0,0
,http://webarchive.bac-lac.gc.ca/wayback/20131002004525/https://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_07026.html,http://webarchive.bac-lac.gc.ca/wayback/20131002004525/https://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_07026.html,1,1,0,0
,http://www.ic.gc.ca/Users/chris.robertson/Downloads/us.sitesucker.mac.sitesucker/www.ic.gc.ca/eic/site/icgc.nsf/eng/00281.html,http://www.ic.gc.ca/Users/chris.robertson/Downloads/us.sitesucker.mac.sitesucker/www.ic.gc.ca/eic/site/icgc.nsf/eng/00281.html,1,1,7,0
,http://www.ic.gc.ca/Users/chris.robertson/Downloads/us.sitesucker.mac.sitesucker/www.ic.gc.ca/eic/site/icgc.nsf/eng/07150.html,http://www.ic.gc.ca/Users/chris.robertson/Downloads/us.sitesucker.mac.sitesucker/www.ic.gc.ca/eic/site/icgc.nsf/eng/07150.html,1,1,8,0
,http://www1.ic.gc.ca/eic/site/icgc.nsf/fra/h_07654.html,http://www1.ic.gc.ca/eic/site/icgc.nsf/fra/h_07654.html,1,1,0,0
,http://www.ic.gc.ca/Users/chris.robertson/Downloads/us.sitesucker.mac.sitesucker/www.ic.gc.ca/eic/site/icgc.nsf/eng/h_07026 copy 2.html,http://www.ic.gc.ca/Users/chris.robertson/Downloads/us.sitesucker.mac.sitesucker/www.ic.gc.ca/eic/site/icgc.nsf/eng/h_07026 copy 2.html,1,1,184,0
,http://www.ic.gc.ca/app/scr/registration-inscription/update/updatePassword.html?lang=eng,http://www.ic.gc.ca/app/scr/registration-inscription/update/updatePassword.html?lang=eng,1,1,2,0
,http://www.ic.gc.ca/app/scr/registration-inscription/home.html?lang=fr,http://www.ic.gc.ca/app/scr/registration-inscription/home.html?lang=fr,1,2,8,0
,http://www.ic.gc.ca/Users/chris.robertson/Downloads/us.sitesucker.mac.sitesucker/www.ic.gc.ca/eic/site/icgc.nsf/eng/07543.html,http://www.ic.gc.ca/Users/chris.robertson/Downloads/us.sitesucker.mac.sitesucker/www.ic.gc.ca/eic/site/icgc.nsf/eng/07543.html,1,1,6,0
Créer un compte - réussi - Mon compte à Industrie Canada - Industrie Canada,http://ic.gc.ca/app/scr/registration-inscription/CreerUnCompteReussi.html,http://ic.gc.ca/app/scr/registration-inscription/CreerUnCompteReussi.html,1,1,0,0
Créer un compte - étape 2 de 2 - Mon compte à Industrie Canada - Industrie Canada,http://ic.gc.ca/app/scr/registration-inscription/Creer.html,http://ic.gc.ca/app/scr/registration-inscription/Creer.html,1,1,78,0
Create an account - success - My ISED Account - ISED,http://www.ic.gc.ca/app/scr/registration-inscription/success.html?lang=eng,http://www.ic.gc.ca/app/scr/registration-inscription/success.html?lang=eng,1,1,190,0
,http://www.ic.gc.ca/app/scr/registration-inscription/miseajour/miseajourMotDePasse.html?lang=fra,http://www.ic.gc.ca/app/scr/registration-inscription/miseajour/miseajourMotDePasse.html?lang=fra,1,1,33,0
,http://www.ic.gc.ca/Users/chris.robertson/Downloads/us.sitesucker.mac.sitesucker/www.ic.gc.ca/eic/site/icgc.nsf/eng/07139.html,http://www.ic.gc.ca/Users/chris.robertson/Downloads/us.sitesucker.mac.sitesucker/www.ic.gc.ca/eic/site/icgc.nsf/eng/07139.html,1,1,5,0
Indiquez la réponse à votre question de récupération du mot de passe - Mon compte à Industrie Canada - Industrie Canada,http://strategis.ic.gc.ca/app/scr/registration-inscription/ForgotPasswordGen.html?lang=fra,http://strategis.ic.gc.ca/app/scr/registration-inscription/ForgotPasswordGen.html?lang=fra,1,1,0,0
"Apropos de la Politique sur l’intégrité scientifique d’ISDE - Innovation, Sciences et Développement économique Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/fra/07668.html,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/07668.html,1,1,0,0
"List: Forms, reports, guides... - Innovation, Science and Economic Development Canada",http://www1.ic.gc.ca/eic/site/icgc.nsf/eng/07128.html,http://www1.ic.gc.ca/eic/site/icgc.nsf/eng/07128.html,1,1,0,0
Mettre votre compte à jour - Mon compte à Industrie Canada - Industrie Canada,http://strategis.ic.gc.ca/app/scr/registration-inscription/miseajour/miseajour.html?lang=fra,http://strategis.ic.gc.ca/app/scr/registration-inscription/miseajour/miseajour.html?lang=fra,1,1,10,0
Access your account - My ISED Account - ISED,http://strategis.ic.gc.ca/app/scr/registration-inscription/home.html?lang,http://strategis.ic.gc.ca/app/scr/registration-inscription/home.html?lang,1,1,82,0
,http://www.consumerinformation.ca/app/scr/registration-inscription/home.html,http://www.consumerinformation.ca/app/scr/registration-inscription/home.html,1,1,25,0
,http://www.consumerinformation.ca/app/scr/registration-inscription/register_email.html,http://www.consumerinformation.ca/app/scr/registration-inscription/register_email.html,1,3,395,0
,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/hm/ccss.html?lang=fra&tpcId=241,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/hm/ccss.html?lang=fra&tpcId=241,1,1,0,0
,http://ito.ic.gc.ca/app/scr/registration-inscription/miseajour/miseajourQuestionSecret.html,http://ito.ic.gc.ca/app/scr/registration-inscription/miseajour/miseajourQuestionSecret.html,1,1,126,0
,http://ito.ic.gc.ca/app/scr/registration-inscription/miseajour/miseajourDinfo.html,http://ito.ic.gc.ca/app/scr/registration-inscription/miseajour/miseajourDinfo.html,1,1,1503,0
,http://www.consumerinformation.ca/app/scr/registration-inscription/update/updatePersonal.html,http://www.consumerinformation.ca/app/scr/registration-inscription/update/updatePersonal.html,1,1,31,0
,http://www.ic.gc.ca/Users/chris.robertson/Downloads/us.sitesucker.mac.sitesucker/www.ic.gc.ca/eic/site/icgc.nsf/eng/h_07662.html,http://www.ic.gc.ca/Users/chris.robertson/Downloads/us.sitesucker.mac.sitesucker/www.ic.gc.ca/eic/site/icgc.nsf/eng/h_07662.html,1,1,11,0
,http://webarchive.bac-lac.gc.ca/wayback/20131001221022/http://www.ic.gc.ca/eic/site/icgc.nsf/eng/home,http://webarchive.bac-lac.gc.ca/wayback/20131001221022/http://www.ic.gc.ca/eic/site/icgc.nsf/eng/home,1,2,16,0
,http://webarchive.bac-lac.gc.ca/wayback/20131001221913/http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_07042.html,http://webarchive.bac-lac.gc.ca/wayback/20131001221913/http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_07042.html,1,4,234,0
,http://webarchive.bac-lac.gc.ca/wayback/20131001224604/http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_07111.html,http://webarchive.bac-lac.gc.ca/wayback/20131001224604/http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_07111.html,1,2,16,0
,http://www.ic.gc.ca/app/scr/registration-inscription/home.html?lang=fra.com,http://www.ic.gc.ca/app/scr/registration-inscription/home.html?lang=fra.com,1,1,0,0
,http://www.ic.gc.ca/Users/chris.robertson/Downloads/us.sitesucker.mac.sitesucker/www.ic.gc.ca/eic/site/icgc.nsf/eng/h_07033.html,http://www.ic.gc.ca/Users/chris.robertson/Downloads/us.sitesucker.mac.sitesucker/www.ic.gc.ca/eic/site/icgc.nsf/eng/h_07033.html,1,1,3,0
,http://www.consumerinformation.ca/app/scr/registration-inscription/update/update.html,http://www.consumerinformation.ca/app/scr/registration-inscription/update/update.html,1,2,18,0
Modifiez votre question de récupération du mot de passe - Mon compte à Industrie Canada - Industrie Canada,http://www.ic.gc.ca/app/scr/registration-inscription/miseajour/miseajourQuestionSecret.html?lang=fra,http://www.ic.gc.ca/app/scr/registration-inscription/miseajour/miseajourQuestionSecret.html?lang=fra,1,1,67,0
,http://www1.ic.gc.ca/eic/site/icgc.nsf/fra/h_07034.html,http://www1.ic.gc.ca/eic/site/icgc.nsf/fra/h_07034.html,1,1,0,0
,http://webarchive.bac-lac.gc.ca/wayback/20131001222317/http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_07044.html,http://webarchive.bac-lac.gc.ca/wayback/20131001222317/http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_07044.html,1,1,24,0
,http://wayback.archive-it.org/eic/site/icgc.nsf/eng/home,http://wayback.archive-it.org/eic/site/icgc.nsf/eng/home,1,2,27,0
,http://www.bureaudelaconcurrence.gc.ca/app/scr/cmb-dgcm/poi-pi/hm/ccss.html?lang=fra&tpcId=181,http://www.bureaudelaconcurrence.gc.ca/app/scr/cmb-dgcm/poi-pi/hm/ccss.html?lang=fra&tpcId=181,1,1,0,0
,http://www1.ic.gc.ca/eic/site/icgc.nsf/fra/00281.html,http://www1.ic.gc.ca/eic/site/icgc.nsf/fra/00281.html,1,1,0,0
,http://wayback.archive-it.org/eic/site/icgc.nsf/fra/accueil,http://wayback.archive-it.org/eic/site/icgc.nsf/fra/accueil,1,1,552,0
,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/07045.html,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/07045.html,1,1,0,0
Financing - Maps - Industry Canada,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/ mp.html?lang=eng&tpcId=1,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/ mp.html?lang=eng&tpcId=1,1,2,15,0
Accéder à votre compte - Mon compte à Industrie Canada - Industrie Canada,http://www.cipo.ic.gc.ca/app/scr/registration-inscription/home.html?lang=fra,http://www.cipo.ic.gc.ca/app/scr/registration-inscription/home.html?lang=fra,1,1,621,0
,http://oti.ic.gc.ca/app/scr/registration-inscription/success2.html,http://oti.ic.gc.ca/app/scr/registration-inscription/success2.html,1,1,225,0
"Contact Innovation, Science and Economic Development Canada - Innovation, Science and Economic Development Canada",http://www.ic.gc.ca./eic/site/icgc.nsf/eng/h_07026.html,http://www.ic.gc.ca./eic/site/icgc.nsf/eng/h_07026.html,1,1,0,0
Accéder à votre compte - Mon compte à Industrie Canada - Industrie Canada,http://www.cipo.ic.gc.ca/app/scr/registration-inscription/home.html,http://www.cipo.ic.gc.ca/app/scr/registration-inscription/home.html,1,1,133,0
Créer un compte - étape 2 de 2 - Mon compte à Industrie Canada - Industrie Canada,http://www.cipo.ic.gc.ca/app/scr/registration-inscription/Creer.html,http://www.cipo.ic.gc.ca/app/scr/registration-inscription/Creer.html,1,2,43,0
,http://www.ic.gc.ca/eic/site/icgc.nsf/eng/07110.html,http://www.ic.gc.ca/eic/site/icgc.nsf/eng/07110.html,1,2,466,0
,http://www1.ic.gc.ca/eic/site/icgc.nsf/eng/h_07017.html,http://www1.ic.gc.ca/eic/site/icgc.nsf/eng/h_07017.html,1,1,0,0
,http://www1.ic.gc.ca/eic/site/icgc.nsf/eng/h_00019.html,http://www1.ic.gc.ca/eic/site/icgc.nsf/eng/h_00019.html,1,1,0,0
,http://www-ic-gc-ca.acces.bibl.ulaval.ca/eic/site/icgc.nsf/fra/accueil,http://www-ic-gc-ca.acces.bibl.ulaval.ca/eic/site/icgc.nsf/fra/accueil,1,1,0,0
,http://www.ic.gc.ca./eic/site/icgc.nsf/eng/h_00022.html,http://www.ic.gc.ca./eic/site/icgc.nsf/eng/h_00022.html,1,1,644,0
,http://www.ic.gc.ca/eic/site/icgc.nsf/frm-fra/MMCN-A3HMJJ,http://www.ic.gc.ca/eic/site/icgc.nsf/frm-fra/MMCN-A3HMJJ,1,1,0,0
,http://www.ic.gc.ca.acces.bibl.ulaval.ca/eic/site/icgc.nsf/fra/accueil,http://www.ic.gc.ca.acces.bibl.ulaval.ca/eic/site/icgc.nsf/fra/accueil,1,1,0,0
,http://www1.ic.gc.ca/eic/site/icgc.nsf/eng/h_00279.html,http://www1.ic.gc.ca/eic/site/icgc.nsf/eng/h_00279.html,1,1,0,0
Update your personal information - My ISED Account - ISED,http://www.ic.gc.ca/app/scr/registration-inscription/update/updatePersonal.html?lang=eng,http://www.ic.gc.ca/app/scr/registration-inscription/update/updatePersonal.html?lang=eng,1,1,0,0
Odyssée des sciences – Activités - Cartes - Industrie Canada,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/mp.html?lang=fra&tpcId=121,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/mp.html?lang=fra&tpcId=121,1,1,0,0
Download a listing of points of interest for topic: NCP Project Discovery Portal – Current Projects - Maps - Industry Canada,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/hm/ccss.html?tpcId=282,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/hm/ccss.html?tpcId=282,1,1,57,0
Créer un compte - réussi - Mon compte à Industrie Canada - Industrie Canada,http://www.ic.gc.ca/app/scr/registration-inscription/CreerUnCompteReussi.html?lang=fra,http://www.ic.gc.ca/app/scr/registration-inscription/CreerUnCompteReussi.html?lang=fra,1,1,900,0
,http://www1.ic.gc.ca/eic/site/icgc.nsf/eng/h_07015.html,http://www1.ic.gc.ca/eic/site/icgc.nsf/eng/h_07015.html,1,1,0,0
,http://www1.ic.gc.ca/eic/site/icgc.nsf/eng/h_07016.html,http://www1.ic.gc.ca/eic/site/icgc.nsf/eng/h_07016.html,1,1,0,0
,http://www.crc.gc.ca/app/scr/registration-inscription/home.html?lang=eng,http://www.crc.gc.ca/app/scr/registration-inscription/home.html?lang=eng,1,1,10,0
,http://www1.ic.gc.ca/eic/site/icgc.nsf/eng/h_07661.html,http://www1.ic.gc.ca/eic/site/icgc.nsf/eng/h_07661.html,1,1,0,0
,http://www1.ic.gc.ca/eic/site/icgc.nsf/eng/h_07655.html,http://www1.ic.gc.ca/eic/site/icgc.nsf/eng/h_07655.html,1,1,0,0
Download a listing of points of interest for topic: - Maps - Industry Canada,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/hm/ccss.html,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/hm/ccss.html,1,1,0,0
"Internet, radio et sans-fil - Cartes - Industrie Canada",http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/mp.html?lang=fra&tpcId=7,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/mp.html?lang=fra&tpcId=7,1,1,0,0
,http://fednor.gc.ca/app/scr/registration-inscription/update/updatePersonal.html,http://fednor.gc.ca/app/scr/registration-inscription/update/updatePersonal.html,1,2,13,0
,http://fednor.gc.ca/app/scr/registration-inscription/update/updatePassword.html,http://fednor.gc.ca/app/scr/registration-inscription/update/updatePassword.html,1,1,156,0
"Contact Innovation, Science and Economic Development Canada - Innovation, Science and Economic Development Canada",http://www-ic-gc-ca.proxy.bib.uottawa.ca/eic/site/icgc.nsf/eng/h_07026.html,http://www-ic-gc-ca.proxy.bib.uottawa.ca/eic/site/icgc.nsf/eng/h_07026.html,1,1,208,0
,http://fednor.gc.ca/app/scr/registration-inscription/success2.html,http://fednor.gc.ca/app/scr/registration-inscription/success2.html,1,1,71,0
,http://fednor.gc.ca/app/scr/registration-inscription/ForgotPasswordGen.html,http://fednor.gc.ca/app/scr/registration-inscription/ForgotPasswordGen.html,1,2,5,0
,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/hm/ccss.html?lang=fra&tpcId=1,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/hm/ccss.html?lang=fra&tpcId=1,1,2,2,0
,http://ito.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/mp.html?lang=fra&tpcId=1,http://ito.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/mp.html?lang=fra&tpcId=1,1,1,0,0
,http://ito.ic.gc.ca/eic/site/ic-gc.nsf/eng/07398.html,http://ito.ic.gc.ca/eic/site/ic-gc.nsf/eng/07398.html,1,1,0,0
,http://ito.ic.gc.ca/eic/site/ic-gc.nsf/fra/07398.html,http://ito.ic.gc.ca/eic/site/ic-gc.nsf/fra/07398.html,1,1,0,0
,http://web.archive.org/web/20130203102627/http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_00018.html,http://web.archive.org/web/20130203102627/http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_00018.html,1,1,0,0
,http://www.ic.gc.ca/eic/site/icgc.nsf/eng/07045.html,http://www.ic.gc.ca/eic/site/icgc.nsf/eng/07045.html,1,1,0,0
,http://ito.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/mp.html?lang=fra&tpcId=181,http://ito.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/mp.html?lang=fra&tpcId=181,1,1,15,0
"Home - Innovation, Science and Economic Development Canada",http://www-ic-gc-ca.proxy.bib.uottawa.ca/eic/site/icgc.nsf/eng/home,http://www-ic-gc-ca.proxy.bib.uottawa.ca/eic/site/icgc.nsf/eng/home,1,5,43,0
"Accueil - Innovation, Sciences et Développement économique Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/fra/accueil����,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/accueil����,1,2,205,0
,http://www.nuans.com/eic/site/icgc.nsf/frm-eng/YDES-8VAL9G,http://www.nuans.com/eic/site/icgc.nsf/frm-eng/YDES-8VAL9G,1,1,0,0
,http://ito.ic.gc.ca/app/scr/registration-inscription/ForgotPasswordGen.html,http://ito.ic.gc.ca/app/scr/registration-inscription/ForgotPasswordGen.html,1,1,33,0
We found your username(s) - My ISED Account - ISED,http://ic.gc.ca/app/scr/registration-inscription/usernameEmailSuccess.html,http://ic.gc.ca/app/scr/registration-inscription/usernameEmailSuccess.html,1,1,78,0
"Home - Innovation, Science and Economic Development Canada",http://s3.amazonaws.com/lex-web-ui-codebuilddeploy-9in2m24lr-webappbucket-27fcjufokzio/www.ic.gc.ca/eic/site/icgc.nsf/eng/home.html,http://s3.amazonaws.com/lex-web-ui-codebuilddeploy-9in2m24lr-webappbucket-27fcjufokzio/www.ic.gc.ca/eic/site/icgc.nsf/eng/home.html,1,2,386,0
"Home - Innovation, Science and Economic Development Canada",http://s3.amazonaws.com/ised-lex-web-ui-pipe-pipeline-2uiogg-webappbucket-ihtkgy7w2vl4/www.ic.gc.ca/eic/site/icgc.nsf/eng/home.html,http://s3.amazonaws.com/ised-lex-web-ui-pipe-pipeline-2uiogg-webappbucket-ihtkgy7w2vl4/www.ic.gc.ca/eic/site/icgc.nsf/eng/home.html,1,14,482,0
,http://nyberg.cheads.site/eic/site/icgc.nsf/fra/accueil,http://nyberg.cheads.site/eic/site/icgc.nsf/fra/accueil,1,1,0,0
,http://www.nuans.com/eic/site/icgc.nsf/eng/h_07016.html,http://www.nuans.com/eic/site/icgc.nsf/eng/h_07016.html,1,1,0,0
Inclusive Innovation Agenda Engagement Sessions - Maps - Industry Canada,http://oti.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/mp.html?lang=eng&tpcId=181,http://oti.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/mp.html?lang=eng&tpcId=181,1,2,219,0
,http://www.ito.ic.gc.ca/app/scr/registration-inscription/accueil.html,http://www.ito.ic.gc.ca/app/scr/registration-inscription/accueil.html,1,1,0,0
,http://www.ito.ic.gc.ca/app/scr/registration-inscription/home.html?lang=fra,http://www.ito.ic.gc.ca/app/scr/registration-inscription/home.html?lang=fra,1,1,0,0
,http://www1.ic.gc.ca/eic/site/ic-gc.nsf/eng/07398.html,http://www1.ic.gc.ca/eic/site/ic-gc.nsf/eng/07398.html,1,1,0,0
,http://www.competitionbureau.gc.ca/app/scr/registration-inscription/accueil.html,http://www.competitionbureau.gc.ca/app/scr/registration-inscription/accueil.html,1,1,0,0
,http://www.competitionbureau.gc.ca/app/scr/registration-inscription/accueil.html?lang=fra,http://www.competitionbureau.gc.ca/app/scr/registration-inscription/accueil.html?lang=fra,1,1,27,0
,http://fednor.gc.ca/app/scr/registration-inscription/register.html,http://fednor.gc.ca/app/scr/registration-inscription/register.html,1,5,142,0
,http://fednor.gc.ca/app/scr/registration-inscription/success.html,http://fednor.gc.ca/app/scr/registration-inscription/success.html,1,1,0,0
"Nos ministres - Innovation, Sciences et Développement économique Canada",http://www1.ic.gc.ca/eic/site/icgc.nsf/fra/h_00279.html,http://www1.ic.gc.ca/eic/site/icgc.nsf/fra/h_00279.html,1,1,0,0
"Les agences de développement régional du Canada - Innovation, Sciences et Développement économique Canada",http://www1.ic.gc.ca/eic/site/icgc.nsf/fra/h_07662.html,http://www1.ic.gc.ca/eic/site/icgc.nsf/fra/h_07662.html,1,1,0,0
"Hauts fonctionnaires et les secteurs - Innovation, Sciences et Développement économique Canada",http://www1.ic.gc.ca/eic/site/icgc.nsf/fra/h_00019.html,http://www1.ic.gc.ca/eic/site/icgc.nsf/fra/h_00019.html,1,1,0,0
,http://www1.ic.gc.ca/eic/site/icgc.nsf/fra/h_07024.html,http://www1.ic.gc.ca/eic/site/icgc.nsf/fra/h_07024.html,1,1,569,0
,http://www.cirb-ccri.gc.ca/app/scr/registration-inscription/register.html,http://www.cirb-ccri.gc.ca/app/scr/registration-inscription/register.html,1,1,9,0
,http://www.cirb-ccri.gc.ca/app/scr/registration-inscription/register_email.html?lang=eng,http://www.cirb-ccri.gc.ca/app/scr/registration-inscription/register_email.html?lang=eng,1,2,10,0
,http://www.bureaudelaconcurrence.gc.ca/app/scr/registration-inscription/accueil.html,http://www.bureaudelaconcurrence.gc.ca/app/scr/registration-inscription/accueil.html,1,1,7,0
,http://ic.gc.ca/app/scr/registration-inscription/update/updatePassword.html,http://ic.gc.ca/app/scr/registration-inscription/update/updatePassword.html,1,2,274,0
- Maps - Industry Canada,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/mp.html?lang=eng&tpcId=9,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/mp.html?lang=eng&tpcId=9,1,1,0,0
"Subscribe to receive newsletters and email updates - Innovation, Science and Economic Development Canada",http://www1.ic.gc.ca/eic/site/icgc.nsf/eng/h_07034.html,http://www1.ic.gc.ca/eic/site/icgc.nsf/eng/h_07034.html,1,2,126,0
Créer un compte - étape 1 de 2 - Mon compte à Industrie Canada - Industrie Canada,http://www.competitionbureau.gc.ca/app/scr/registration-inscription/CreerUnCompte.html?lang=fra,http://www.competitionbureau.gc.ca/app/scr/registration-inscription/CreerUnCompte.html?lang=fra,1,1,0,0
Download a listing of points of interest for topic: - Maps - Industry Canada,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/hm/ccss.html?lang=eng&tpcId=9,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/hm/ccss.html?lang=eng&tpcId=9,1,1,0,0
