Pages,URL,HRef,Visits,Views,Average Time Viewed (seconds),Average Time to Serve (ms)
"Liste de lecteurs et visualiseurs - Innovation, Sciences et Développement économique Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/fra/07134.html,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/07134.html,1866,2171,272,0
Password reset success - My ISED Account - ISED,http://strategis.ic.gc.ca/app/scr/registration-inscription/success2.html,http://strategis.ic.gc.ca/app/scr/registration-inscription/success2.html,1818,1975,154,0
"Programmes et initiatives - Innovation, Sciences et Développement économique Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/fra/h_07654.html,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/h_07654.html,1794,2503,174,0
Financement - Cartes - Industrie Canada,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/mp.html?lang=fra&tpcId=1,http://www.ic.gc.ca/app/scr/cmb-dgcm/poi-pi/mp.html?lang=fra&tpcId=1,1793,2197,216,0
"Contact us by mail - Innovation, Science and Economic Development Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/eng/07150.html,http://www.ic.gc.ca/eic/site/icgc.nsf/eng/07150.html,1599,1813,150,0
"Enquiry/Feedback Acknowledgement - Innovation, Science and Economic Development Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/eng/00281.html,http://www.ic.gc.ca/eic/site/icgc.nsf/eng/00281.html,1390,1730,175,0
"Nos ministres - Innovation, Sciences et Développement économique Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/fra/h_00279.html,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/h_00279.html,1267,1511,117,0
"About us - Innovation, Science and Economic Development Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_07017.html,http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_07017.html,1249,1683,49,0
Update your personal information - My ISED Account - ISED,http://strategis.ic.gc.ca/app/scr/registration-inscription/update/updatePersonal.html,http://strategis.ic.gc.ca/app/scr/registration-inscription/update/updatePersonal.html,1154,1436,58,0
Créer un compte - étape 2 de 2 - Mon compte à Industrie Canada - Industrie Canada,http://strategis.ic.gc.ca/app/scr/registration-inscription/Creer.html,http://strategis.ic.gc.ca/app/scr/registration-inscription/Creer.html,1128,2440,137,0
Accéder à votre compte - Mon compte à Industrie Canada - Industrie Canada,http://www.ic.gc.ca/app/scr/registration-inscription/accueil.html,http://www.ic.gc.ca/app/scr/registration-inscription/accueil.html,1106,1647,53,0
Accéder à votre compte - Mon compte à Industrie Canada - Industrie Canada,http://www.ic.gc.ca/app/scr/registration-inscription/home.html?lang=fra,http://www.ic.gc.ca/app/scr/registration-inscription/home.html?lang=fra,1061,1284,99,0
"Hauts fonctionnaires et les secteurs - Innovation, Sciences et Développement économique Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/fra/h_00019.html,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/h_00019.html,1061,1687,139,0
"Stay connected - Innovation, Science and Economic Development Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_07031.html,http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_07031.html,1049,1249,82,0
"Innovation, Science and Economic Development Canada: Internet and Electronic Network Usage Policy - Innovation, Science and Economic Development Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_07652.html,http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_07652.html,1032,1159,100,0
Créer un compte - réussi - Mon compte à Industrie Canada - Industrie Canada,http://strategis.ic.gc.ca/app/scr/registration-inscription/CreerUnCompteReussi.html,http://strategis.ic.gc.ca/app/scr/registration-inscription/CreerUnCompteReussi.html,1012,1070,179,0
Créer un compte - étape 1 de 2 - Mon compte à Industrie Canada - Industrie Canada,http://www.ic.gc.ca/app/scr/registration-inscription/CreerUnCompte.html?lang=fra,http://www.ic.gc.ca/app/scr/registration-inscription/CreerUnCompte.html?lang=fra,987,1340,34,0
"Mandat - Innovation, Sciences et Développement économique Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/fra/h_00018.html,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/h_00018.html,928,1140,163,0
"David McGovern - Innovation, Science and Economic Development Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_07016.html,http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_07016.html,908,1040,110,0
"Forms, reports, guides … - Innovation, Science and Economic Development Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_07111.html,http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_07111.html,884,1163,140,0
"Privacy notice - Innovation, Science and Economic Development Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/eng/07139.html,http://www.ic.gc.ca/eic/site/icgc.nsf/eng/07139.html,824,891,127,0
Mettre à jour vos renseignements personnels - Mon compte à Industrie Canada - Industrie Canada,http://www.ic.gc.ca/app/scr/registration-inscription/miseajour/miseajourDinfo.html,http://www.ic.gc.ca/app/scr/registration-inscription/miseajour/miseajourDinfo.html,756,957,44,0
"Public consultations - Innovation, Science and Economic Development Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_02888.html,http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_02888.html,748,951,135,0
"Notre organisation - Innovation, Sciences et Développement économique Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/fra/h_00007.html,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/h_00007.html,720,1182,43,0
"Les agences de développement régional du Canada - Innovation, Sciences et Développement économique Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/fra/h_07662.html,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/h_07662.html,719,871,167,0
"About copyright - Innovation, Science and Economic Development Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/eng/07415.html,http://www.ic.gc.ca/eic/site/icgc.nsf/eng/07415.html,714,798,241,0
"Guylaine Roy - Innovation, Science and Economic Development Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_07661.html,http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_07661.html,677,749,106,0
"Paul Thompson - Innovation, Science and Economic Development Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_07655.html,http://www.ic.gc.ca/eic/site/icgc.nsf/eng/h_07655.html,624,704,92,0
"À propos du droit d'auteur - Innovation, Sciences et Développement économique Canada",http://www.ic.gc.ca/eic/site/icgc.nsf/fra/07415.html,http://www.ic.gc.ca/eic/site/icgc.nsf/fra/07415.html,562,641,317,0
Change your challenge question - My ISED Account - ISED,http://www.ic.gc.ca/app/scr/registration-inscription/update/updateSecretQuestion.html,http://www.ic.gc.ca/app/scr/registration-inscription/update/updateSecretQuestion.html,557,635,41,0
Changer votre mot de passe - Mon compte à Industrie Canada - Industrie Canada,http://www.ic.gc.ca/app/scr/registration-inscription/miseajour/miseajourMotDePasse.html,http://www.ic.gc.ca/app/scr/registration-inscription/miseajour/miseajourMotDePasse.html,555,820,46,0
